"Date","Price","Open","High","Low","Change %"
"Jul 26, 2013","3.1879","3.1841","3.1972","3.1745","0.04%"
"Jul 25, 2013","3.1866","3.2020","3.2256","3.1758","-0.53%"
"Jul 24, 2013","3.2035","3.1761","3.2114","3.1681","0.69%"
"Jul 23, 2013","3.1814","3.1923","3.2092","3.1700","-0.43%"
"Jul 22, 2013","3.1951","3.2167","3.2231","3.1859","-0.87%"
"Jul 19, 2013","3.2233","3.2309","3.2432","3.2145","-0.42%"
"Jul 18, 2013","3.2368","3.2310","3.2509","3.2281","0.04%"
"Jul 17, 2013","3.2355","3.2280","3.2505","3.2165","0.16%"
"Jul 16, 2013","3.2303","3.2823","3.2868","3.2250","-1.52%"
"Jul 15, 2013","3.2803","3.2826","3.2997","3.2735","-0.25%"
"Jul 12, 2013","3.2885","3.2959","3.3222","3.2768","-0.30%"
"Jul 11, 2013","3.2984","3.3458","3.3511","3.2595","-1.45%"
"Jul 10, 2013","3.3468","3.3805","3.3884","3.3371","-1.05%"
"Jul 09, 2013","3.3824","3.3504","3.3871","3.3328","0.88%"
"Jul 08, 2013","3.3529","3.3547","3.3694","3.3328","-0.06%"
"Jul 05, 2013","3.3548","3.3072","3.3633","3.3013","1.37%"
"Jul 04, 2013","3.3096","3.3059","3.3400","3.2985","0.04%"
"Jul 03, 2013","3.3083","3.3408","3.3627","3.3013","-1.13%"
"Jul 02, 2013","3.3462","3.3124","3.3482","3.2996","0.96%"
"Jul 01, 2013","3.3145","3.3220","3.3329","3.3077","-0.24%"
"Jun 28, 2013","3.3226","3.3147","3.3372","3.2947","0.22%"
"Jun 27, 2013","3.3154","3.3382","3.3452","3.3054","-0.70%"
"Jun 26, 2013","3.3387","3.3092","3.3487","3.2975","0.76%"
"Jun 25, 2013","3.3134","3.3020","3.3192","3.2652","0.31%"
"Jun 24, 2013","3.3030","3.3110","3.3309","3.2900","-0.29%"
"Jun 21, 2013","3.3126","3.2903","3.3348","3.2516","0.66%"
"Jun 20, 2013","3.2909","3.2255","3.2963","3.2181","1.98%"
"Jun 19, 2013","3.2269","3.1838","3.2338","3.1704","1.32%"
"Jun 18, 2013","3.1850","3.1659","3.1945","3.1582","0.55%"
"Jun 17, 2013","3.1675","3.1790","3.1876","3.1545","-0.46%"
"Jun 14, 2013","3.1820","3.1597","3.1871","3.1509","0.69%"
"Jun 13, 2013","3.1601","3.1992","3.2059","3.1524","-1.24%"
"Jun 12, 2013","3.1997","3.2073","3.2161","3.1827","-0.34%"
"Jun 11, 2013","3.2106","3.2203","3.2387","3.1992","-0.34%"
"Jun 10, 2013","3.2214","3.2058","3.2410","3.2015","0.38%"
"Jun 07, 2013","3.2092","3.2357","3.2703","3.1937","-1.03%"
"Jun 06, 2013","3.2425","3.2601","3.2897","3.2326","-0.90%"
"Jun 05, 2013","3.2721","3.2404","3.2813","3.2259","1.00%"
"Jun 04, 2013","3.2397","3.2502","3.2645","3.2267","-0.38%"
"Jun 03, 2013","3.2519","3.2809","3.3026","3.2429","-1.20%"
"May 31, 2013","3.2914","3.2783","3.3104","3.2658","0.36%"
"May 30, 2013","3.2796","3.2789","3.3047","3.2575","-0.05%"
"May 29, 2013","3.2811","3.2686","3.2923","3.2562","0.26%"
"May 28, 2013","3.2725","3.2419","3.2733","3.2196","0.79%"
"May 27, 2013","3.2469","3.2353","3.2520","3.2293","0.06%"
"May 24, 2013","3.2451","3.2411","3.2566","3.2325","-0.20%"
"May 23, 2013","3.2515","3.2526","3.2717","3.2367","-0.12%"
"May 22, 2013","3.2554","3.2356","3.2641","3.2071","0.48%"
"May 21, 2013","3.2399","3.2470","3.2593","3.2300","-0.31%"
"May 20, 2013","3.2500","3.2471","3.2581","3.2339","-0.08%"
"May 17, 2013","3.2525","3.2461","3.2640","3.2348","0.09%"
"May 16, 2013","3.2496","3.2439","3.2581","3.2313","-0.10%"
"May 15, 2013","3.2530","3.2235","3.2595","3.2108","0.93%"
"May 14, 2013","3.2230","3.2040","3.2255","3.1877","0.53%"
"May 13, 2013","3.2061","3.1965","3.2121","3.1831","0.53%"
"May 10, 2013","3.1891","3.1630","3.2098","3.1540","0.75%"
"May 09, 2013","3.1654","3.1383","3.1760","3.1285","0.81%"
"May 08, 2013","3.1400","3.1639","3.1725","3.1276","-0.81%"
"May 07, 2013","3.1656","3.1753","3.1813","3.1542","-0.26%"
"May 06, 2013","3.1738","3.1525","3.1821","3.1369","0.42%"
"May 03, 2013","3.1605","3.1609","3.1730","3.1465","-0.21%"
"May 02, 2013","3.1670","3.1574","3.1728","3.1342","0.17%"
"May 01, 2013","3.1616","3.1601","3.1686","3.1390","0.01%"
"Apr 30, 2013","3.1613","3.1611","3.1759","3.1488","0.02%"
"Apr 29, 2013","3.1606","3.1835","3.1928","3.1463","-1.06%"
"Apr 26, 2013","3.1943","3.1921","3.1999","3.1808","0.05%"
"Apr 25, 2013","3.1928","3.1886","3.1972","3.1645","-0.07%"
"Apr 24, 2013","3.1950","3.1820","3.2007","3.1692","0.36%"
"Apr 23, 2013","3.1836","3.1418","3.1913","3.1361","1.32%"
"Apr 22, 2013","3.1421","3.1310","3.1619","3.1225","-0.10%"
"Apr 19, 2013","3.1454","3.1520","3.1547","3.1231","-0.27%"
"Apr 18, 2013","3.1538","3.1570","3.1651","3.1393","-0.25%"
"Apr 17, 2013","3.1617","3.1160","3.1661","3.1089","1.42%"
"Apr 16, 2013","3.1175","3.1504","3.1591","3.1083","-1.03%"
"Apr 15, 2013","3.1500","3.1135","3.1576","3.1135","0.73%"
"Apr 12, 2013","3.1271","3.1380","3.1581","3.1183","-0.36%"
"Apr 11, 2013","3.1385","3.1344","3.1492","3.1226","0.07%"
"Apr 10, 2013","3.1363","3.1439","3.1508","3.1255","-0.27%"
"Apr 09, 2013","3.1448","3.1674","3.1789","3.1343","-0.73%"
"Apr 08, 2013","3.1680","3.1992","3.2058","3.1624","-0.98%"
"Apr 05, 2013","3.1995","3.2297","3.2452","3.1841","-0.99%"
