code,date,Euro_super_95
ES,2019-05-20,1.355
ES,2019-05-13,1.355
ES,2019-05-06,1.358
ES,2019-04-29,1.354
ES,2019-04-15,1.33
ES,2019-04-08,1.308
ES,2019-04-01,1.291
ES,2019-03-25,1.278
ES,2019-03-18,1.268
ES,2019-03-11,1.261
ES,2019-03-04,1.258
ES,2019-02-25,1.253
ES,2019-02-18,1.236
ES,2019-02-11,1.23
ES,2019-02-04,1.226
ES,2019-01-28,1.222
ES,2019-01-21,1.213
ES,2019-01-14,1.197
ES,2019-01-07,1.18
ES,2018-12-17,1.212
ES,2018-12-10,1.224
ES,2018-12-03,1.242
ES,2018-11-26,1.272
ES,2018-11-19,1.296
ES,2018-11-12,1.316
ES,2018-11-05,1.335
ES,2018-10-29,1.34
ES,2018-10-22,1.344
ES,2018-10-15,1.357
ES,2018-10-08,1.351
ES,2018-10-01,1.335
ES,2018-09-24,1.332
ES,2018-09-17,1.338
ES,2018-09-10,1.341
ES,2018-09-03,1.336
ES,2018-08-27,1.329
ES,2018-08-20,1.328
ES,2018-08-13,1.327
ES,2018-08-06,1.325
ES,2018-07-30,1.319
ES,2018-07-23,1.318
ES,2018-07-16,1.326
ES,2018-07-09,1.326
ES,2018-07-02,1.318
ES,2018-06-25,1.32
ES,2018-06-18,1.328
ES,2018-06-11,1.333
ES,2018-06-04,1.337
ES,2018-05-28,1.335
ES,2018-05-21,1.322
ES,2018-05-14,1.302
ES,2018-05-07,1.286
ES,2018-04-30,1.279
ES,2018-04-23,1.269
ES,2018-04-16,1.261
ES,2018-04-09,1.253
ES,2018-03-26,1.237
ES,2018-03-19,1.221
ES,2018-03-12,1.222
ES,2018-03-05,1.227
ES,2018-02-26,1.224
ES,2018-02-19,1.228
ES,2018-02-12,1.248
ES,2018-02-05,1.257
ES,2018-01-29,1.256
ES,2018-01-22,1.255
ES,2018-01-15,1.254
ES,2018-01-08,1.249
ES,2018-01-01,1.243
ES,2017-12-18,1.235
ES,2017-12-11,1.235
ES,2017-12-04,1.238
ES,2017-11-27,1.238
ES,2017-11-20,1.241
ES,2017-11-13,1.239
ES,2017-11-06,1.221
ES,2017-10-30,1.207
ES,2017-10-23,1.203
ES,2017-10-16,1.203
ES,2017-10-09,1.206
ES,2017-10-02,1.211
ES,2017-09-25,1.211
ES,2017-09-18,1.214
ES,2017-09-11,1.218
ES,2017-09-04,1.2
ES,2017-08-28,1.19
ES,2017-08-21,1.191
ES,2017-08-14,1.192
ES,2017-08-07,1.188
ES,2017-07-31,1.181
ES,2017-07-24,1.177
ES,2017-07-17,1.172
ES,2017-07-10,1.175
ES,2017-07-03,1.168
ES,2017-06-26,1.172
ES,2017-06-19,1.182
ES,2017-06-12,1.194
ES,2017-06-05,1.208
ES,2017-05-29,1.216
ES,2017-05-22,1.211
ES,2017-05-15,1.206
ES,2017-05-08,1.22
ES,2017-05-01,1.239
ES,2017-04-24,1.258
ES,2017-04-10,1.236
ES,2017-04-03,1.216
ES,2017-03-27,1.213
ES,2017-03-20,1.218
ES,2017-03-13,1.237
ES,2017-03-06,1.25
ES,2017-02-27,1.253
ES,2017-02-20,1.255
ES,2017-02-13,1.248
ES,2017-02-06,1.246
ES,2017-01-30,1.244
ES,2017-01-23,1.242
ES,2017-01-16,1.242
ES,2017-01-09,1.247
ES,2017-01-02,1.237
ES,2016-12-19,1.216
ES,2016-12-12,1.203
ES,2016-12-05,1.184
ES,2016-11-28,1.174
ES,2016-11-21,1.159
ES,2016-11-14,1.162
ES,2016-11-07,1.18
ES,2016-10-31,1.19
ES,2016-10-24,1.189
ES,2016-10-17,1.186
ES,2016-10-10,1.179
ES,2016-10-03,1.16
ES,2016-09-26,1.156
ES,2016-09-19,1.158
ES,2016-09-12,1.155
ES,2016-09-05,1.159
