"Date","Price","Open","High","Low","Change %"
"Apr 23, 2017","3.8795","3.9755","3.9755","3.8540","-2.39%"
"Apr 16, 2017","3.9743","3.9884","4.0049","3.9392","-0.40%"
"Apr 09, 2017","3.9901","3.9855","4.0114","3.9705","0.07%"
"Apr 02, 2017","3.9872","3.9701","4.0042","3.9583","0.36%"
"Mar 26, 2017","3.9730","3.9533","3.9790","3.8971","0.66%"
"Mar 19, 2017","3.9468","3.9823","3.9907","3.9381","-1.03%"
"Mar 12, 2017","3.9880","4.0618","4.0839","3.9836","-1.75%"
"Mar 05, 2017","4.0591","4.0547","4.0965","4.0471","0.15%"
"Feb 26, 2017","4.0531","4.0856","4.1009","4.0465","-0.81%"
"Feb 19, 2017","4.0860","4.0769","4.1013","4.0575","0.17%"
"Feb 12, 2017","4.0790","4.0378","4.0895","4.0340","1.02%"
"Feb 05, 2017","4.0380","3.9916","4.0599","3.9773","1.20%"
"Jan 29, 2017","3.9900","4.0510","4.0800","3.9749","-1.47%"
"Jan 22, 2017","4.0495","4.0809","4.0868","4.0422","-0.89%"
"Jan 15, 2017","4.0860","4.1147","4.1447","4.0681","-0.89%"
"Jan 08, 2017","4.1225","4.1363","4.1828","4.0917","-0.33%"
"Jan 01, 2017","4.1360","4.1865","4.2446","4.1067","-1.15%"
"Dec 25, 2016","4.1840","4.2113","4.2511","4.1445","-0.74%"
"Dec 18, 2016","4.2153","4.2364","4.2764","4.2016","-0.31%"
"Dec 11, 2016","4.2285","4.2133","4.2818","4.1464","0.36%"
"Dec 04, 2016","4.2135","4.2046","4.2692","4.1033","0.25%"
"Nov 27, 2016","4.2031","4.1612","4.2264","4.1334","0.76%"
"Nov 20, 2016","4.1716","4.1923","4.2157","4.1395","-0.51%"
"Nov 13, 2016","4.1930","4.0735","4.2115","4.0675","2.87%"
"Nov 06, 2016","4.0762","3.8822","4.0987","3.8455","4.93%"
"Oct 30, 2016","3.8848","3.9455","3.9623","3.8765","-1.62%"
"Oct 23, 2016","3.9487","3.9741","3.9886","3.9425","-0.70%"
"Oct 16, 2016","3.9764","3.9251","3.9863","3.9114","1.18%"
"Oct 09, 2016","3.9301","3.8207","3.9333","3.8161","2.87%"
"Oct 02, 2016","3.8203","3.8249","3.8589","3.8138","-0.04%"
"Sep 25, 2016","3.8220","3.8312","3.8729","3.8045","-0.25%"
"Sep 18, 2016","3.8316","3.8563","3.8704","3.7973","-0.81%"
"Sep 11, 2016","3.8630","3.8563","3.8866","3.8312","-0.02%"
"Sep 04, 2016","3.8639","3.9135","3.9213","3.8058","-1.29%"
"Aug 28, 2016","3.9143","3.8654","3.9303","3.8529","1.08%"
"Aug 21, 2016","3.8725","3.8072","3.8756","3.7891","1.76%"
"Aug 14, 2016","3.8056","3.8177","3.8301","3.7661","-0.57%"
"Aug 07, 2016","3.8274","3.8550","3.8714","3.7969","-0.82%"
"Jul 31, 2016","3.8590","3.8975","3.9156","3.8384","-1.02%"
"Jul 24, 2016","3.8988","3.9748","3.9917","3.8874","-1.96%"
"Jul 17, 2016","3.9768","4.0218","4.0218","3.9450","-0.98%"
"Jul 10, 2016","4.0160","3.9940","4.0211","3.9530","0.55%"
"Jul 03, 2016","3.9939","3.9613","4.0343","3.9463","0.79%"
"Jun 26, 2016","3.9627","4.0127","4.0728","3.9249","-1.13%"
"Jun 19, 2016","4.0080","3.9135","4.1300","3.7938","2.41%"
"Jun 12, 2016","3.9135","3.8846","4.0057","3.8792","0.55%"
"Jun 05, 2016","3.8920","3.8585","3.8925","3.7815","0.78%"
"May 29, 2016","3.8620","3.9440","3.9578","3.8534","-2.14%"
"May 22, 2016","3.9465","3.9346","3.9878","3.9202","0.22%"
"May 15, 2016","3.9377","3.8796","3.9501","3.8392","1.03%"
"May 08, 2016","3.8976","3.8892","3.9113","3.8615","0.28%"
"May 01, 2016","3.8869","3.8231","3.8962","3.7667","1.86%"
"Apr 24, 2016","3.8161","3.8810","3.9313","3.8105","-1.98%"
"Apr 17, 2016","3.8931","3.8087","3.9039","3.7650","2.27%"
"Apr 10, 2016","3.8066","3.7749","3.8426","3.7364","0.96%"
"Apr 03, 2016","3.7704","3.7283","3.7879","3.7104","1.04%"
"Mar 27, 2016","3.7317","3.8159","3.8220","3.6986","-2.21%"
"Mar 20, 2016","3.8159","3.7836","3.8452","3.7740","0.88%"
"Mar 13, 2016","3.7826","3.8505","3.8946","3.7647","-1.72%"
"Mar 06, 2016","3.8489","3.9276","3.9689","3.8359","-2.11%"
"Feb 28, 2016","3.9320","3.9969","4.0074","3.9196","-1.68%"
"Feb 21, 2016","3.9990","3.9325","4.0047","3.9235","1.85%"
"Feb 14, 2016","3.9265","3.9055","3.9653","3.8987","0.58%"
"Feb 07, 2016","3.9040","3.9545","4.0033","3.8843","-1.24%"
"Jan 31, 2016","3.9532","4.0831","4.0949","3.9229","-3.11%"
"Jan 24, 2016","4.0799","4.1308","4.1578","4.0558","-1.25%"
"Jan 17, 2016","4.1315","4.1082","4.1546","4.0578","0.65%"
"Jan 10, 2016","4.1048","3.9987","4.1094","3.9712","2.71%"
"Jan 03, 2016","3.9964","3.9293","4.0529","3.9184","1.76%"
"Dec 27, 2015","3.9274","3.8716","3.9564","3.8518","1.62%"
"Dec 20, 2015","3.8647","3.9355","3.9397","3.8592","-1.72%"
"Dec 13, 2015","3.9322","3.9735","3.9861","3.9013","-1.01%"
"Dec 06, 2015","3.9725","3.9671","3.9984","3.9340","0.13%"
"Nov 29, 2015","3.9675","4.0302","4.0595","3.9297","-1.43%"
"Nov 22, 2015","4.0250","3.9819","4.0398","3.9740","1.13%"
"Nov 15, 2015","3.9800","3.9382","4.0027","3.9352","0.90%"
"Nov 08, 2015","3.9445","3.9755","3.9815","3.9060","-0.81%"
"Nov 01, 2015","3.9767","3.8640","3.9910","3.8412","2.98%"
"Oct 25, 2015","3.8617","3.8638","3.9354","3.8434","0.02%"
"Oct 18, 2015","3.8609","3.7319","3.8727","3.7161","3.42%"
"Oct 11, 2015","3.7332","3.7180","3.7404","3.6756","0.51%"
"Oct 04, 2015","3.7144","3.7833","3.8024","3.7035","-1.98%"
"Sep 27, 2015","3.7895","3.7757","3.8172","3.7595","0.43%"
"Sep 20, 2015","3.7731","3.7176","3.7952","3.6970","1.52%"
"Sep 13, 2015","3.7165","3.7122","3.7471","3.6633","0.17%"
"Sep 06, 2015","3.7102","3.7944","3.8067","3.7050","-2.16%"
"Aug 30, 2015","3.7922","3.7788","3.8170","3.7388","0.63%"
"Aug 23, 2015","3.7686","3.7100","3.7900","3.6290","1.52%"
"Aug 16, 2015","3.7120","3.7673","3.7895","3.7078","-1.41%"
"Aug 09, 2015","3.7649","3.8184","3.8432","3.7372","-1.34%"
"Aug 02, 2015","3.8160","3.7740","3.8592","3.7640","1.15%"
"Jul 26, 2015","3.7725","3.7740","3.8104","3.7020","-0.01%"
"Jul 19, 2015","3.7729","3.7946","3.8189","3.7404","-0.50%"
"Jul 12, 2015","3.7918","3.7451","3.7992","3.7130","1.27%"
"Jul 05, 2015","3.7443","3.7767","3.8563","3.7199","-0.74%"
"Jun 28, 2015","3.7721","3.7399","3.8196","3.7199","0.80%"
"Jun 21, 2015","3.7420","3.6785","3.7520","3.6515","1.60%"
"Jun 14, 2015","3.6832","3.6800","3.7134","3.6410","0.16%"
"Jun 07, 2015","3.6772","3.7332","3.7563","3.6469","-1.78%"
"May 31, 2015","3.7437","3.7441","3.7911","3.6754","0.08%"
"May 24, 2015","3.7408","3.7275","3.8287","3.7251","0.26%"
"May 17, 2015","3.7311","3.5326","3.7370","3.5280","5.73%"
"May 10, 2015","3.5288","3.6212","3.6709","3.5261","-2.29%"
"May 03, 2015","3.6115","3.6388","3.6450","3.5557","-0.68%"
"Apr 26, 2015","3.6364","3.7166","3.7316","3.5805","-2.09%"
"Apr 19, 2015","3.7142","3.7168","3.7521","3.6772","-0.31%"
"Apr 12, 2015","3.7256","3.7980","3.8226","3.7008","-1.83%"
"Apr 05, 2015","3.7952","3.6993","3.8039","3.6780","2.55%"
"Mar 29, 2015","3.7008","3.7652","3.8144","3.6753","-1.68%"
"Mar 22, 2015","3.7641","3.8194","3.8434","3.6936","-1.45%"
"Mar 15, 2015","3.8194","3.9533","3.9668","3.7471","-3.37%"
"Mar 08, 2015","3.9527","3.8129","3.9745","3.7827","3.83%"
"Mar 01, 2015","3.8070","3.7025","3.8095","3.6975","2.68%"
"Feb 22, 2015","3.7075","3.6610","3.7155","3.6485","1.14%"
"Feb 15, 2015","3.6656","3.6660","3.7088","3.6467","-0.02%"
"Feb 08, 2015","3.6665","3.6734","3.7424","3.6382","-0.28%"
"Feb 01, 2015","3.6767","3.7060","3.7064","3.6164","-0.74%"
"Jan 25, 2015","3.7041","3.7521","3.7898","3.6952","-1.21%"
"Jan 18, 2015","3.7495","3.7192","3.8006","3.6858","0.86%"
"Jan 11, 2015","3.7175","3.6041","3.7658","3.5907","3.11%"
"Jan 04, 2015","3.6053","3.5807","3.6575","3.5806","0.56%"
"Dec 28, 2014","3.5851","3.5960","3.5980","3.5010","-0.26%"
"Dec 21, 2014","3.5943","3.4870","3.6159","3.4691","3.02%"
"Dec 14, 2014","3.4890","3.3530","3.4929","3.3450","3.88%"
"Dec 07, 2014","3.3586","3.3836","3.4030","3.3411","-0.75%"
"Nov 30, 2014","3.3841","3.3540","3.3947","3.3380","0.61%"
"Nov 23, 2014","3.3635","3.3965","3.4039","3.3385","-0.78%"
"Nov 16, 2014","3.3898","3.3709","3.3989","3.3490","0.38%"
"Nov 09, 2014","3.3769","3.3883","3.4113","3.3685","-0.49%"
"Nov 02, 2014","3.3935","3.3687","3.4239","3.3598","0.55%"
"Oct 26, 2014","3.3748","3.3204","3.3755","3.3032","1.49%"
"Oct 19, 2014","3.3252","3.3057","3.3648","3.2908","0.58%"
"Oct 12, 2014","3.3059","3.3133","3.3349","3.2678","-0.26%"
"Oct 05, 2014","3.3145","3.3444","3.3511","3.2650","-1.03%"
"Sep 28, 2014","3.3490","3.2920","3.3545","3.2835","1.53%"
"Sep 21, 2014","3.2986","3.2578","3.3007","3.2365","1.18%"
"Sep 14, 2014","3.2601","3.2323","3.2679","3.2207","0.54%"
"Sep 07, 2014","3.2425","3.2309","3.2703","3.2241","0.55%"
"Aug 31, 2014","3.2247","3.2039","3.2469","3.1815","0.59%"
"Aug 24, 2014","3.2058","3.1654","3.2212","3.1642","1.32%"
"Aug 17, 2014","3.1640","3.1320","3.1720","3.1260","0.88%"
"Aug 10, 2014","3.1365","3.1270","3.1590","3.1127","0.13%"
"Aug 03, 2014","3.1325","3.1163","3.1665","3.1055","0.61%"
"Jul 27, 2014","3.1135","3.0808","3.1327","3.0794","0.87%"
"Jul 20, 2014","3.0867","3.0622","3.0895","3.0585","0.61%"
"Jul 13, 2014","3.0680","3.0418","3.0769","3.0332","0.79%"
"Jul 06, 2014","3.0440","3.0449","3.0581","3.0187","-0.25%"
"Jun 29, 2014","3.0516","3.0401","3.0553","3.0295","0.32%"
"Jun 22, 2014","3.0420","3.0610","3.0737","3.0280","-0.73%"
"Jun 15, 2014","3.0645","3.0445","3.0796","3.0205","0.74%"
"Jun 08, 2014","3.0420","3.0012","3.0557","2.9970","1.31%"
"Jun 01, 2014","3.0026","3.0340","3.0609","3.0016","-1.21%"
"May 25, 2014","3.0394","3.0459","3.0617","3.0282","-0.33%"
"May 18, 2014","3.0495","3.0590","3.0715","3.0441","-0.36%"
"May 11, 2014","3.0604","3.0391","3.0665","3.0318","0.67%"
"May 04, 2014","3.0400","3.0288","3.0455","2.9960","0.29%"
"Apr 27, 2014","3.0313","3.0410","3.0501","3.0209","-0.43%"
"Apr 20, 2014","3.0445","3.0285","3.0503","3.0260","0.60%"
"Apr 13, 2014","3.0262","3.0185","3.0403","3.0135","0.49%"
"Apr 06, 2014","3.0115","3.0353","3.0470","2.9967","-0.87%"
"Mar 30, 2014","3.0379","3.0308","3.0465","3.0168","0.14%"
"Mar 23, 2014","3.0337","3.0420","3.0505","3.0218","-0.32%"
"Mar 16, 2014","3.0435","3.0415","3.0652","3.0109","0.19%"
"Mar 09, 2014","3.0378","3.0215","3.0648","3.0200","0.20%"
"Mar 02, 2014","3.0316","3.0333","3.0813","3.0093","0.62%"
"Feb 23, 2014","3.0129","3.0209","3.0734","3.0063","-0.30%"
"Feb 16, 2014","3.0221","3.0260","3.0586","3.0071","-0.11%"
"Feb 09, 2014","3.0253","3.0621","3.0779","3.0231","-1.21%"
"Feb 02, 2014","3.0622","3.1481","3.1614","3.0595","-2.87%"
"Jan 26, 2014","3.1527","3.0655","3.1609","3.0568","2.72%"
"Jan 19, 2014","3.0692","3.0711","3.0891","3.0470","-0.37%"
